 ,Label,Area
1,dia,7554
2,dia,9214
3,dia,2110
4,dia,13527
5,dia,8134
6,dia,8110
7,dia,3613
8,dia,1197
9,dia,4233
10,dia,1512
11,dia,697
12,dia,1466
13,dia,2714
14,dia,597
15,dia,1574
16,dia,4450
17,dia,6681
18,dia,6279
19,dia,4225
20,dia,5586
21,dia,7934
22,dia,1391
23,dia,2193
24,dia,2396
25,dia,3640
26,dia,13667
27,dia,8258
28,dia,7209
29,dia,5995
30,dia,1932
31,dia,783
32,dia,2253
33,dia,727
34,dia,1648
35,dia,2937
36,dia,4073
37,dia,1754
38,dia,4786
39,dia,3263
40,dia,5009
41,dia,6250
42,dia,5212
43,dia,3978
44,dia,4157
45,dia,1295
46,dia,20540
47,dia,1944
48,dia,881
49,dia,958
50,dia,3310
51,dia,1572
52,dia,1906
53,dia,3842
54,dia,1777
55,dia,4211
56,dia,2766
57,amdet,29538
58,fila,9743
59,cyano,1079
60,ga-lgb,1569
