 ,Label,Area
1,dia,810
2,dia,642
3,dia,846
4,dia,553
5,dia,310
6,dia,461
7,dia,479
8,dia,3320
9,dia,685
10,dia,211
11,dia,205
12,dia,9183
13,dia,1465
14,dia,1953
15,dia,1938
16,dia,1704
17,dia,1024
18,dia,7221
19,dia,346
20,dia,822
21,dia,872
22,dia,439
23,dia,389
24,dia,562
25,dia,818
26,dia,775
27,dia,553
28,dia,1051
29,dia,324
30,dia,340
31,dia,1817
32,dia,298
33,dia,1003
34,dia,1044
35,dia,338
36,dia,1082
37,dia,250
38,dia,330
39,dia,264
40,dia,3311
41,dia,914
42,dia,1802
43,dia,1057
44,dia,353
45,dia,275
46,dia,982
47,dia,695
48,dia,309
49,dia,470
50,dia,868
51,dia,939
52,dia,508
53,dia,1090
54,dia,142
55,dia,1249
56,dia,496
57,dia,159
58,dia,283
59,dia,271
60,dia,264
61,dia,659
62,dia,3249
63,dia,1002
64,dia,903
65,dia,1605
66,dia,1029
67,dia,4041
68,dia,5525
69,dia,1521
70,dia,1376
71,dia,1749
72,dia,677
73,dia,682
74,dia,1329
75,dia,259
76,dia,400
77,dia,820
78,dia,160
79,dia,18692
80,dia,602
81,dia,4762
82,dia,1383
83,dia,610
84,dia,1761
85,dia,1496
86,dia,1195
87,dia,5717
88,dia,4334
89,dia,799
90,dia,5927
91,dia,1311
92,dia,1498
93,dia,1955
94,dia,1913
95,dia,959
96,dia,1125
97,dia,408
98,dia,324
99,dia,1532
100,dia,2215
101,dia,3290
102,dia,2103
103,dia,4622
104,dia,390
105,dia,1163
106,dia,1303
107,dia,975
108,dia,1394
109,dia,2165
110,dia,934
111,dia,1573
112,dia,1612
113,dia,7737
114,dia,5948
115,dia,1102
116,dia,556
117,dia,708
118,dia,1390
119,dia,2880
120,dia,1177
121,dia,1308
122,dia,4110
123,dia,5483
124,dia,733
125,dia,1139
126,dia,20000
127,dia,2186
128,dia,1463
129,dia,2934
130,dia,404
131,dia,837
132,dia,466
133,dia,244
134,dia,1042
135,dia,563
136,dia,3358
137,dia,2709
138,dia,424
139,dia,1860
140,dia,1562
141,dia,862
142,dia,1330
143,dia,1265
144,dia,934
145,dia,394
146,dia,952
147,dia,1360
148,dia,10630
149,dia,342
150,dia,1180
151,dia,3617
152,dia,3482
153,dia,716
154,dia,1558
155,dia,4074
156,dia,2128
157,dia,2033
158,dia,912
159,dia,1105
160,dia,1412
161,dia,1217
162,dia,1419
163,dia,4449
164,dia,6463
165,dia,1735
166,dia,782
167,dia,401
168,dia,380
169,dia,1199
170,dia,1611
171,dia,436
172,dia,1345
173,dia,706
174,dia,996
175,dia,1810
176,dia,350
177,dia,2822
178,dia,540
179,dia,678
180,dia,717
181,dia,918
182,dia,668
183,dia,4448
184,dia,3229
185,dia,401
186,dia,1409
187,dia,1484
188,dia,1220
189,dia,1173
190,dia,1077
191,dia,429
192,dia,2847
193,dia,2801
194,dia,6148
195,dia,1920
196,dia,1696
197,dia,979
198,dia,2075
199,dia,1765
200,dia,763
201,dia,2330
202,dia,3904
203,dia,876
204,dia,877
205,dia,1250
206,dia,1143
207,dia,3848
208,dia,2760
209,fila,12479
210,fila,3125
211,fila,10597
212,fila,4053
213,fila,1310
