 ,Label,Area
1,dia,1925
2,dia,1276
3,dia,1362
4,dia,1722
5,dia,1015
6,dia,1112
7,dia,560
8,dia,4069
9,dia,4460
10,dia,1012
11,dia,1399
12,dia,2162
13,dia,2439
14,dia,1314
15,dia,1027
16,dia,855
17,dia,412
18,dia,449
19,dia,319
20,dia,1634
21,dia,6304
22,dia,3689
23,dia,1057
24,dia,858
25,dia,817
26,dia,3659
27,dia,4297
28,dia,1231
29,dia,729
30,dia,2498
31,dia,768
32,dia,1863
33,dia,1652
34,dia,880
35,dia,14316
36,dia,6240
37,dia,848
38,dia,970
39,dia,727
40,dia,895
41,dia,794
42,dia,2084
43,dia,1230
44,dia,837
45,dia,1456
46,dia,419
47,dia,1659
48,dia,929
49,dia,922
50,dia,3918
51,dia,4060
52,dia,549
53,dia,1030
54,dia,624
55,dia,1422
56,dia,748
57,animal,13252
58,dia,1440
59,dia,1216
60,dia,893
61,dia,2744
62,dia,1128
63,dia,2619
64,dia,861
65,dia,1537
66,dia,1241
67,dia,349
68,dia,687
69,dia,812
70,dia,3201
71,dia,3049
72,dia,30593
73,dia,1230
74,dia,1110
75,dia,845
76,dia,1647
77,dia,509
78,dia,2002
79,dia,674
80,dia,2526
81,dia,1377
82,dia,2549
83,dia,1114
84,dia,951
85,dia,652
86,fila,1766
