 ,Label,Area
1,dia,30864
2,dia,492
3,dia,692
4,dia,4455
5,dia,792
6,dia,1396
7,dia,1870
8,dia,439
9,dia,1460
10,dia,298
11,dia,546
12,dia,1142
13,dia,504
14,dia,299
15,dia,627
16,dia,532
17,dia,432
18,dia,1307
19,dia,1707
20,dia,1902
21,dia,1690
22,dia,276
23,dia,1280
24,dia,289
25,dia,362
26,dia,566
27,dia,1571
28,dia,798
29,dia,450
30,dia,10275
31,dia,393
32,dia,393
33,dia,547
34,dia,1714
35,dia,667
36,dia,559
37,dia,2515
38,dia,19747
39,dia,3047
40,dia,900
41,dia,725
42,dia,793
43,dia,911
44,dia,2259
45,amdet,22629
46,green-algae,2558
47,amdet,25320
48,green-algae,1001
49,green-algae,2557
50,vascular,18735
