 ,Label,Area
1,dia,2722
2,dia,8405
3,dia,13886
4,dia,2674
5,dia,4017
6,dia,2371
7,dia,750
8,fila,1846
9,cyano,4976
10,dia,16905
11,dia,185
12,dia,1378
13,dia,726
14,dia,424
15,dia,240
16,dia,1315
17,dia,1140
18,dia,365
19,fila,559
20,dia,1001
21,amdet,4969
22,dia,427
23,dia,4236
24,dia,2088
25,dia,1366
26,dia,712
27,dia,636
28,dia,891
29,dia,370
30,dia,1032
31,dia,740
32,dia,669
33,dia,481
34,dia,978
35,dia,1394
36,dia,504
37,dia,532
38,dia,996
39,dia,2089
40,dia,4607
41,dia,1096
42,dia,884
43,dia,338
44,dia,931
45,dia,473
46,dia,657
47,dia,305
48,dia,362
49,dia,3894
50,dino,83446
51,dia,777
52,dia,405
53,dia,1253
54,dia,944
55,dia,508
56,dia,1320
57,dia,688
58,dia,1516
59,dia,2116
60,dia,791
61,dia,545
62,dia,1791
63,amdet,1406
